OVERVIEW OF GCNed CANDIDATES,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IceCube event,IceCube GCN,Our ATel(s)/GCN(s),sep. from plane,Candidate Names,Candidate IAU Names,Classification,Max Brightness g,Max brightness r,Brightness at neutrino arrival g,Brightness at neutrino arrival r,number of detection days,Fritz Link,Notes,SUMMARY,,,,,,,,,,
IC220405B,https://gcn.gsfc.nasa.gov/gcn3/31839.gcn3,https://gcn.gsfc.nasa.gov/gcn3/31842.gcn3,,ZTF19aavnpjv,,CV,18.6,19.1,18.6,19.1,4,https://fritz.science/source/ZTF19aavnpjv,"triggered NOT, classified as CV",,,,,,,,,,,
,,https://gcn.gsfc.nasa.gov/gcn3/32004.gcn3,,,,,,,,,,,,,,,,,,,,,,
IC220624A,https://gcn.gsfc.nasa.gov/gcn3/32260.gcn3,https://gcn.gsfc.nasa.gov/gcn3/32357.gcn3,,ZTF19adgzidh,AT2021bei,AGN,19.2,19.4,19.2,19.6,>20,https://fritz.science/source/ZTF19adgzidh,"WISEA J150144.26+411658.7, triggered NOT, WISE G-type source",,,,,,,,,,,
,,,,ZTF22aaparxg,AT2022nit,SN Ia,20.3,20.3,20.5,20.5,3,https://fritz.science/source/ZTF22aaparxg,"WISEA J144950.63+412225.6, WISE G-type source, we took Keck spectrum",,,,,,,,,,,
IC220822A,https://gcn.gsfc.nasa.gov/gcn/gcn3/32475.gcn3,https://gcn.gsfc.nasa.gov/gcn/gcn3/32480.gcn3,,ZTF22aarmiqk,AT2022saw,SN Ia,,,,,,https://fritz.science/source/ZTF22aarmiqk,"triggered Keck, textbook Ia",,,,,,,,,,,
,,https://gcn.gsfc.nasa.gov/gcn/gcn3/32498.gcn3,,,,,,,,,,,,,,,,,,,,,,
IC221216A,https://gcn.gsfc.nasa.gov/gcn/gcn3/33065.gcn3,https://gcn.gsfc.nasa.gov/gcn/gcn3/33089.gcn3,-51.99,,,,,,,,,,,,,,,,,,,,,
IC221223A,https://gcn.gsfc.nasa.gov/gcn/gcn3/33094.gcn3,https://gcn.gsfc.nasa.gov/gcn/gcn3/33134.gcn3,,,,,,,,,,,,,,,,,,,,,,
IC230724A,GCN - Circulars - 34265: IceCube-230724A - IceCube observation of a high-energy neutrino candidate track-like event (nasa.gov),GCN - Circulars - 34284: IceCube-230724A: No counterparts from the Zwicky Transient Facility (nasa.gov),-58.49,,,,,,,,,,,,,,,,,,,,,
IC231004A,https://gcn.nasa.gov/circulars/34797,https://gcn.nasa.gov/circulars/34837,,ZTF23abidzvf,AT2023uqf,,19.6,20.2,20.5,20.5,4,https://fritz.science/source/ZTF23abidzvf,"Fbot like, Ibn?",,,,,,,,,,,
,,https://gcn.nasa.gov/circulars/34810,,,,,,,,,,,,,,,,,,,,,,
IC231103A,https://gcn.nasa.gov/circulars/34933,https://gcn.nasa.gov/circulars/34973,,ZTF23abnoapt,AT2023wue,CV,16,16.2,16.3,16.5,16,https://fritz.science/source/ZTF23abnoapt,,,,,,,,,,,,
IC231202A,https://gcn.nasa.gov/circulars/35255,https://gcn.nasa.gov/circulars/35320,,,,,,,,,,,,,,,,,,,,,,
IC240105A,https://gcn.nasa.gov/circulars/35485,https://gcn.nasa.gov/circulars/35510,,ZTF23abtgfpu,AT2023ackx,,20.4,20.2,,21.4,7,https://fritz.science/source/ZTF23abtgfpu,,,,,,,,,,,,
,,,,ZTF23abtgghf,AT2023acky,,,20.8,,21.5,3,https://fritz.science/source/ZTF23abtgghf,,,,,,,,,,,,
,,,,ZTF24aaanwyg,AT2024ui,,20.2,19.7,20.5,20.4,7,https://fritz.science/source/ZTF24aaanwyg,,,,,,,,,,,,
IC240327B,https://gcn.nasa.gov/circulars/35984,https://gcn.nasa.gov/circulars/35989,,,,,,,,,,,,,,,,,,,,,,
IC240721A,https://gcn.nasa.gov/circulars/36918,https://gcn.nasa.gov/circulars/36929,,ZTF24aaugpvz,AT 2024pge,,19.7,19.9,20.1,20,9,https://fritz.science/source/ZTF24aaugpvz,,,,,,,,,,,,
,,,,ZTF23aaslxmh,AT2023qqp,,19.6,19.8,19.6,19.8,>20,https://fritz.science/source/ZTF23aaslxmh,,,,,,,,,,,,
