,sample_name,idx_to_news_sample,dist_to_news_source_arcsec,chunk_number,id,ra,dec,news_ra,news_dec
710,mirong,6365537,27.123862206730152,12,711,212.6169,14.6445,212.60965237,14.64174391
711,mirong,4202045,0.2238219641975456,8,712,212.6533,26.9069,212.65336588,26.90692035
712,mirong,5402869,0.1256531353995482,10,713,213.0502,48.1215,213.05017402,48.12153029
713,mirong,35831643,34.45123785169959,71,714,213.1496,41.2496,213.13689115,41.25013111
714,mirong,1775791,0.09598272027633378,3,715,213.2991,-0.3994,213.29911689,-0.39937937
715,mirong,1041453,0.12941078799574768,2,716,213.3101,60.2626,213.31004192,60.2625785
716,mirong,36794284,21.493888994893563,72,717,213.3511,53.0908,213.34259312,53.08771042
717,mirong,3743600,25.622500025129458,7,718,213.5633,26.7476,213.56162088,26.75455763
718,mirong,6951631,0.07042873495051165,13,719,213.6266,19.8383,213.62660963,19.83831734
719,mirong,12050812,26.90869123574709,23,720,213.6695,50.6899,213.66761606,50.69727875
720,mirong,6645881,38.628082992189285,13,721,213.8106,12.9889,213.81619179,12.9981437
721,mirong,3749066,0.09721169237247078,7,722,213.9243,12.2085,213.92432355,12.20848588
722,mirong,2604800,43.52305714545142,5,723,213.995,13.3399,213.99704934,13.32797585
723,mirong,24057389,0.29711259915646077,47,724,214.0448,44.8851,214.04472286,44.88503816
724,mirong,2126539,0.12634228944169806,4,725,214.0928,30.253,214.09278778,30.25303347
725,mirong,1949000,0.09774355672649483,3,726,214.0937,26.942,214.0937149,26.94202368
726,mirong,30147540,28.715170801468492,59,727,214.376,-0.2886,214.37664285,-0.29655049
727,mirong,2527994,0.14039544127344036,5,728,214.4794,20.669,214.47941192,20.66896263
728,mirong,27417702,37.84856654473688,54,729,214.5772,32.3015,214.5664134,32.29626525
729,mirong,23214620,44.2087151839298,46,730,214.5916,61.4588,214.61696305,61.46079029
730,mirong,15552780,39.23269721306238,30,731,214.9442,54.3874,214.95065388,54.39762966
731,mirong,5682947,0.2720555490255875,11,732,214.9507,2.7907,214.95076457,2.79066061
732,mirong,28335072,70.08697728147425,56,733,215.5822,35.969,215.56090937,35.95994039
733,mirong,25624046,47.774574304618845,50,734,215.7255,6.1648,215.71217618,6.16400332
734,mirong,8137769,0.2143039976184806,16,735,215.7537,57.1787,215.75379001,57.17873411
735,mirong,1145815,0.12953481898773442,2,736,215.8304,26.8856,215.83039533,26.88556426
736,mirong,22469849,46.58743140233697,44,737,215.967,24.9048,215.978552,24.91239549
737,mirong,13363096,46.70305021308294,26,738,216.0866,62.8213,216.11057542,62.82825704
738,mirong,7536614,57.181629237686785,14,739,216.0956,24.6141,216.11127173,24.62112205
739,mirong,1843646,0.24611559709153294,3,740,216.1171,55.2548,216.11702621,55.2547461
740,mirong,353115,0.1723864592750592,0,741,216.3216,32.6465,216.32154881,32.64652086
741,mirong,35209772,0.06646913854920153,69,742,216.5063,18.8897,216.50628222,18.88969239
742,mirong,5755693,0.135009622714477,11,743,216.6004,18.9378,216.60036194,18.93781051
743,mirong,1002344,0.04041307153756291,1,744,216.6788,-3.1202,216.67880373,-3.12018941
744,mirong,336607,0.2129179426220869,0,745,217.0371,-2.5236,217.0370563,-2.5235601
745,mirong,16718427,34.893124665356915,33,746,217.5669,23.0623,217.57148727,23.05357474
746,mirong,31703872,83.24848086267521,62,747,217.63,52.7072,217.64127653,52.72929274
747,mirong,30282393,64.76809872263183,60,748,217.647,44.6404,217.67055414,44.63386022
748,mirong,949216,0.14962782880787628,1,749,217.9326,51.4927,217.932569,51.49266319
749,mirong,2888110,0.07183570441272466,5,750,217.9365,64.033,217.93651371,64.03298097
750,mirong,4852599,28.39021760707255,9,751,217.9503,5.0412,217.94582125,5.03469714
751,mirong,2594330,0.13132182023983835,5,752,218.3907,32.3184,218.39070438,32.31843629
752,mirong,6761680,0.24607168956400927,13,753,218.7323,23.019,218.73233325,23.01893888
753,mirong,18226008,15.896943784834486,36,754,219.2553,7.5856,219.25935328,7.5837679
754,mirong,22459271,37.26423571662269,44,755,219.5522,-1.517,219.56230871,-1.51475671
755,mirong,18715625,47.16917645550254,37,756,219.7957,22.9065,219.78796458,22.91749588
756,mirong,1677740,0.2562316166908187,3,757,219.848,40.8002,219.84803457,40.80026619
757,mirong,15716645,67.56875092791799,31,758,219.9062,51.6794,219.92799587,51.66637781
758,mirong,9603862,0.1504133222556091,19,759,219.925,27.1975,219.92502435,27.19753573
759,mirong,10401115,62.99386621773459,20,760,219.9777,15.5826,219.972964,15.56570688
760,mirong,1186680,0.1420377604691773,2,761,219.9971,47.5042,219.99714902,47.50417855
761,mirong,2982981,0.1053008867098634,5,762,220.1013,17.9813,220.10132794,17.98128778
762,mirong,25738823,0.1561298184194997,51,763,220.1792,33.1627,220.17924812,33.16268393
763,mirong,8099065,0.16013716963389543,16,764,220.3442,31.8382,220.34421032,31.83824361
764,mirong,12380416,45.885382667888116,24,765,220.5298,43.8102,220.54280728,43.80157798
765,mirong,8953116,36.508596981068045,17,766,220.6149,55.9795,220.62387984,55.98830962
766,mirong,26865799,31.163215377408644,53,767,220.6458,8.821,220.63817203,8.82525642
767,mirong,16406344,0.21269689055751745,32,768,220.6531,32.1965,220.65305177,32.19645728
768,mirong,5284263,0.17241202147354365,10,769,220.8453,37.6708,220.84533009,37.67084155
769,mirong,4445828,0.08727981206777069,8,770,220.9341,59.1779,220.93405927,59.17791234
770,mirong,32846449,0.029135487616035283,65,771,221.0044,3.3347,221.00439674,3.33469259
771,mirong,704987,0.31126725295334956,1,772,221.2777,0.4948,221.2777478,0.49472795
772,mirong,5017553,0.1711567589265582,9,773,221.5006,33.6453,221.50063827,33.64533529
773,mirong,6504095,96.63436034075342,12,774,221.5166,-1.5343,221.53936835,-1.52006938
774,mirong,14824216,111.91267286918128,29,775,221.8215,15.1638,221.8030783,15.18930082
775,mirong,5332463,67.53411572985381,10,776,221.976,28.5567,221.95784229,28.56657826
776,mirong,18515059,54.717816637703606,36,777,221.9934,40.3933,222.00222544,40.37966795
777,mirong,36369861,0.07822280273124196,72,778,222.1209,11.6256,222.12087808,11.62559666
778,mirong,2536488,0.09445123136053477,5,779,222.2456,63.3976,222.24563424,63.39757871
779,mirong,26559509,19.95534372023756,52,780,222.4276,38.153,222.43301356,38.14944988
780,mirong,4428130,60.98299142605269,8,781,222.6898,-1.798,222.70237364,-1.78664164
781,mirong,30929783,32.93655598763066,61,782,222.731,27.5785,222.72165296,27.58238151
782,mirong,6021619,0.10711195179896775,11,783,222.7796,7.0584,222.77961047,7.05842788
783,mirong,641461,0.06380167175958182,1,784,222.8126,49.4175,222.8125968,49.4175176
784,mirong,31908803,44.9536790914911,63,785,222.8432,8.1491,222.83421019,8.14034021
785,mirong,1762364,0.11379227248813029,3,786,222.9741,55.6884,222.97405111,55.68841548
786,mirong,13427956,21.358019482108737,26,787,223.0899,16.3782,223.0862305,16.37342475
787,mirong,39949363,47.95884720528772,79,788,223.4066,9.8258,223.40023621,9.83755398
788,mirong,22117117,40.23400454336745,43,789,224.2472,62.8732,224.26379486,62.88142605
789,mirong,4421861,0.06264777979149683,8,790,224.2832,9.0353,224.28320912,9.03531489
790,mirong,2455010,15.825439822880975,4,791,224.314,25.3666,224.31556697,25.3707617
791,mirong,3534284,36.560049498410315,7,792,224.5815,4.9144,224.57338046,4.92053947
792,mirong,7725986,0.2282787989306419,15,793,224.6867,37.3393,224.68665492,37.33935231
793,mirong,31195984,90.14474191177847,61,794,224.7152,17.8494,224.74067097,17.85566224
794,mirong,37234513,34.369394613128996,73,795,225.0754,-2.0837,225.07827743,-2.07459629
795,mirong,1070086,0.2557559384188998,2,796,225.1465,42.8893,225.14657401,42.8892541
796,mirong,4976450,0.2148360885253128,9,797,225.7816,20.086,225.78157467,20.08605473
797,mirong,12862190,33.80302031290756,25,798,225.95,47.9919,225.94370149,47.98350975
798,mirong,11858738,31.434100039542034,23,799,226.1683,1.1266,226.15979055,1.12463539
799,mirong,26015004,58.84478724422103,51,800,226.4765,2.881,226.47540456,2.89730912
800,mirong,34408672,38.32642241741948,68,801,226.7178,28.3872,226.70573298,28.38639908
801,mirong,22191573,38.03330269228771,43,802,226.8197,36.7217,226.81093326,36.72958935
802,mirong,3899986,36.49352836478338,7,803,227.152,32.5404,227.16342038,32.54357407
803,mirong,506624,0.2073407816025929,1,804,227.1843,26.047,227.18424667,26.04696804
804,mirong,5948404,0.11919152930537853,11,805,227.3963,48.0828,227.39633798,48.08282127
805,mirong,2900886,0.18071353728572934,5,806,227.4078,26.0647,227.40781595,26.06465189
806,mirong,5058048,0.11083697434382367,10,807,227.5223,45.644,227.52232629,45.6440247
807,mirong,6548837,51.708286866328464,12,808,227.664,17.3662,227.64904346,17.36779385
808,mirong,11617021,25.470225632703862,23,809,227.8248,22.2412,227.81718466,22.24059054
809,mirong,1633416,0.045405493100145286,3,810,227.8656,3.0613,227.86561222,3.06130319
810,mirong,18029925,0.07514235352678449,35,811,227.9093,4.8765,227.90930236,4.87652074
811,mirong,29824229,22.956248357399875,59,812,228.0656,2.0547,228.05958808,2.05683684
812,mirong,8098782,0.047254539483386544,16,813,228.2383,28.1604,228.23828631,28.16040516
813,mirong,28038592,55.11931025010701,55,814,228.4407,31.1903,228.42824916,31.17930158
814,mirong,26026199,56.301272578902335,51,815,228.4535,45.8288,228.43687037,45.81829819
815,mirong,24660101,56.90114168362875,48,816,228.8066,55.4179,228.77939975,55.41451503
816,mirong,37773195,68.49213046431966,74,817,229.0007,18.7315,228.99369698,18.7136679
817,mirong,20782564,0.1833018886873638,41,818,229.1569,11.9577,229.15694343,11.95767194
818,mirong,20402211,59.918416839769066,40,819,229.1861,13.9391,229.20322691,13.93994518
819,mirong,38414662,46.83426582560368,76,820,229.2186,39.9037,229.20382754,39.89731138
820,mirong,36781212,24.83195573254951,72,821,229.2367,19.5369,229.2339005,19.54327328
821,mirong,3759840,0.15492456977091754,7,822,229.3948,3.5028,229.39476214,3.50282059
822,mirong,8751992,24.412716696028358,17,823,229.4265,4.8525,229.4220372,4.85761979
823,mirong,1093111,0.20205215312062727,2,824,229.4431,10.8788,229.44313656,10.87875686
824,mirong,207298,0.08750676854505836,0,825,229.4716,16.9719,229.47159685,16.97192412
825,mirong,13595005,0.21073283097628895,26,826,229.8527,20.4513,229.85264027,20.45128284
826,mirong,4667554,54.879447578950284,9,827,229.9533,48.7173,229.9383558,48.70567459
827,mirong,29387432,84.95504959764695,58,828,230.0482,30.7247,230.05627302,30.74725538
828,mirong,24625998,75.62517301720355,48,829,230.1458,55.7158,230.17988195,55.72433226
829,mirong,2703996,0.19679131166931457,5,830,230.2503,55.9535,230.25032405,55.95344702
830,mirong,21894346,0.1913477750419342,43,831,230.4715,48.2046,230.47142342,48.20458516
831,mirong,25728643,44.20105090240314,51,832,230.4939,54.031,230.47304859,54.03187441
832,mirong,20805137,12.146274779725148,41,833,230.4985,3.5598,230.49532702,3.55863611
833,mirong,33012785,3.7531366606323378,65,834,230.5044,44.5874,230.50326879,44.58806171
834,mirong,1667112,0.09187313394370152,3,835,230.6987,27.9608,230.69870653,27.96077514
835,mirong,38316313,40.963526800472835,75,836,230.8118,30.7668,230.81200678,30.75542263
836,mirong,15817268,44.66964260858792,31,837,230.8972,32.4109,230.90541261,32.42119073
